Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
135	OPHTHALMIC GENETICS	7781.5740.001660
136	NEW GENETICS AND SOCIETY	3291.5710.000680
137	VIRUS GENES	"2525"	1.5420.004070
138	JOURNAL OF NEUROGENETICS	6031.5360.001370
139	ANNALS OF HUMAN GENETICS	"2031"	1.5290.001920
140	GENE EXPRESSION PATTERNS	"1503"	1.5150.001320
141	GENETICS AND MOLECULAR BIOLOGY	"2198"	1.4930.002730
142	Cellular Reprogramming	6311.4300.001370
143	GENETICA	"3125"	1.3660.001540
144	Comparative Cytogenetics	3501.3190.000700
145	THEORETICAL POPULATION BIOLOGY	"3720"	1.2590.002890
146	BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY	8471.2440.000720
147	Genetic Testing and Molecular Biomarkers	"1289"	1.1810.003060
148	Molecular Cytogenetics	7261.1670.002600
149	Genetics Research	"2078"	1.0590.000760
150	International Journal of Immunogenetics	6901.0000.001180
151	Mitochondrial DNA	9640.9220.003010
152	GENES & GENETIC SYSTEMS	7420.9130.000920
153	Conservation Genetics Resources	"1625"	0.7420.005670
154	Genes & Genomics	4760.6800.000970
155	JOURNAL OF GENETICS	"1538"	0.6720.002070
156	EVOLUTIONARY ECOLOGY RESEARCH	"1832"	0.6120.001200
157	CARYOLOGIA	8960.6080.000360
158	HUMAN BIOLOGY	"1888"	0.6000.000990
159	Mitochondrial DNA Part A	9770.5750.002870
160	HUMAN HEREDITY	9680.5420.001310
161	RUSSIAN JOURNAL OF GENETICS	"1259"	0.5050.001180
162	Mitochondrial DNA Part B-Resources	2770.4880.000490
163	CYTOLOGIA	"1051"	0.4810.000190
164	CLINICAL DYSMORPHOLOGY	4590.4270.000410
165	Genetika-Belgrade	3180.3920.000430
166	Balkan Journal of Medical Genetics	860.3060.000220
167	SILVAE GENETICA	8690.2770.000230
168	Cytology and Genetics	2100.2390.000250
169	Medizinische Genetik	360.2130.000110
170	INTERNATIONAL JOURNAL OF HUMAN GENETICS	1380.1460.000080
171	GENETIC COUNSELING	3430.1400.000350
