Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	BLOOD	"165117"	17.5430.205320
2	CIRCULATION RESEARCH	"51539"	14.4670.071470
3	Journal of Hematology & Oncology	"6732"	11.0590.015550
4	Lancet Haematology	"2446"	10.4060.011070
5	LEUKEMIA	"25819"	8.6650.048640
6	Blood Cancer Journal	"2800"	8.0230.010400
7	HAEMATOLOGICA	"17314"	7.1160.034660
8	AMERICAN JOURNAL OF HEMATOLOGY	"10629"	6.9730.023080
9	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"32385"	6.6040.032080
10	STEM CELLS	"20554"	6.0220.024110
11	CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY	"8477"	5.8330.014250
12	BLOOD REVIEWS	"3040"	5.8230.005280
13	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	"19492"	5.6810.024230
14	BRITISH JOURNAL OF HAEMATOLOGY	"23759"	5.5180.033130
15	BONE MARROW TRANSPLANTATION	"13085"	4.7250.015830
16	Blood Advances	"3312"	4.5840.015930
17	SEMINARS IN HEMATOLOGY	"2234"	4.3790.003270
17	THROMBOSIS AND HAEMOSTASIS	"15589"	4.3790.020570
19	CYTOTHERAPY	"6557"	4.2180.008100
20	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	"17598"	4.1570.025190
21	BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION	"12667"	3.8530.023760
22	JOURNAL OF LEUKOCYTE BIOLOGY	"16995"	3.7570.017010
23	Blood Transfusion	"1905"	3.6620.003730
24	Experimental Hematology & Oncology	6333.4920.001420
25	Therapeutic Advances in Hematology	6793.4560.001500
26	PLATELETS	"3276"	3.3780.005580
27	TRANSFUSION MEDICINE REVIEWS	"1409"	3.3280.002980
28	HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA	"2581"	3.1070.004920
29	CURRENT OPINION IN HEMATOLOGY	"2701"	3.0970.004850
30	STEM CELLS AND DEVELOPMENT	"7874"	3.0820.010280
31	Hematology-American Society of Hematology Education Program	"2981"	3.0000.006680
32	HAEMOPHILIA	"5450"	2.9900.006390
33	LEUKEMIA & LYMPHOMA	"8640"	2.9690.013770
34	SHOCK	"7919"	2.9600.010370
35	ANNALS OF HEMATOLOGY	"5734"	2.9040.010750
36	SEMINARS IN THROMBOSIS AND HEMOSTASIS	"4074"	2.8920.005260
37	THROMBOSIS RESEARCH	"10616"	2.8690.017410
38	HEMATOLOGICAL ONCOLOGY	"1372"	2.8320.003500
39	EXPERIMENTAL HEMATOLOGY	"5153"	2.8200.005650
40	TRANSFUSION	"13708"	2.8000.020860
41	BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY	"1342"	2.7920.001600
42	Expert Review of Hematology	"1459"	2.5730.004060
43	Current Hematologic Malignancy Reports	8992.5310.002580
44	BLOOD CELLS MOLECULES AND DISEASES	"3020"	2.4600.003180
45	PEDIATRIC BLOOD & CANCER	"11805"	2.3550.023440
46	VOX SANGUINIS	"3368"	2.3470.005020
47	Clinical Lymphoma Myeloma & Leukemia	"2374"	2.2980.005580
48	Thrombosis Journal	7732.2950.001890
49	INTERNATIONAL JOURNAL OF HEMATOLOGY	"4046"	2.2450.006200
50	EUROPEAN JOURNAL OF HAEMATOLOGY	"4515"	2.2200.006720
51	LEUKEMIA RESEARCH	"5918"	2.2140.006910
52	TRANSFUSION MEDICINE	"1433"	2.1590.002390
53	International Journal of Laboratory Hematology	"1844"	2.1410.003750
54	BLOOD PURIFICATION	"2062"	2.1160.003080
55	MICROCIRCULATION	"2462"	2.1100.002700
56	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	"2794"	2.0540.005740
57	TRANSFUSION MEDICINE AND HEMOTHERAPY	"1223"	1.9370.002610
58	CLINICAL HEMORHEOLOGY AND MICROCIRCULATION	"2147"	1.7410.002180
59	Turkish Journal of Hematology	4521.6850.000690
60	Hematology	"1373"	1.6500.002050
61	JOURNAL OF CLINICAL APHERESIS	"1365"	1.6290.001670
62	Indian Journal of Hematology and Blood Transfusion	7171.6150.001230
63	Mediterranean Journal of Hematology and Infectious Diseases	8671.6000.001350
64	CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS	"1945"	1.3740.003400
65	TRANSFUSION AND APHERESIS SCIENCE	"1947"	1.2850.003040
66	PEDIATRIC HEMATOLOGY AND ONCOLOGY	"1298"	1.2320.001440
67	BLOOD COAGULATION & FIBRINOLYSIS	"2388"	1.2030.002600
68	TRANSFUSION CLINIQUE ET BIOLOGIQUE	5351.2000.000720
69	ACTA HAEMATOLOGICA	"1562"	1.1960.001440
70	THERAPEUTIC APHERESIS AND DIALYSIS	"1488"	1.0410.001700
71	JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY	"3720"	1.0160.004920
72	BIORHEOLOGY	"1411"	0.8890.000350
73	Hamostaseologie	5230.8730.000670
74	Journal of Hematopathology	1120.6570.000110
75	HEMOGLOBIN	9170.5260.000970
76	GEMATOLOGIYA I TRANSFUZIOLOGIYA	460.1250.000020
