Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS GENETICS	"37390"	33.1330.070320
2	NATURE GENETICS	"97380"	27.6030.207900
3	TRENDS IN ECOLOGY & EVOLUTION	"38175"	14.7640.032330
4	TRENDS IN GENETICS	"12530"	11.3330.022030
5	Annual Review of Genetics	"7800"	11.1460.009710
6	GENOME RESEARCH	"41755"	11.0930.076940
7	MOLECULAR BIOLOGY AND EVOLUTION	"50486"	11.0620.084810
8	GENOME BIOLOGY	"44221"	10.8060.133970
9	Genome Medicine	"6463"	10.6750.026510
10	AMERICAN JOURNAL OF HUMAN GENETICS	"36785"	10.5020.060140
11	GENES & DEVELOPMENT	"55192"	9.5270.063070
12	MOLECULAR THERAPY	"17977"	8.9860.030980
13	GENETICS IN MEDICINE	"13045"	8.9040.040880
14	ONCOGENE	"66303"	7.9710.068320
15	Annual Review of Genomics and Human Genetics	"2679"	7.2430.005190
16	AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	"2288"	7.1010.005340
17	GENOMICS PROTEOMICS & BIOINFORMATICS	"2224"	7.0510.005980
18	GENOMICS	"9595"	6.2050.005790
19	Molecular Autism	"2510"	5.8690.007450
20	MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	"3621"	5.8030.003120
21	HUMAN GENETICS	"8803"	5.7430.013370
22	npj Genomic Medicine	5745.6310.003320
23	CURRENT OPINION IN GENETICS & DEVELOPMENT	"7707"	5.5120.016170
24	Horticulture Research	"1360"	5.4040.003360
25	CRISPR Journal	2185.3430.001170
26	PLoS Genetics	"45571"	5.1740.114250
27	HUMAN MOLECULAR GENETICS	"39652"	5.1000.064170
28	Journal of Genetics and Genomics	"2271"	5.0650.004310
29	Clinical Epigenetics	"3787"	5.0280.010640
30	JOURNAL OF MEDICAL GENETICS	"12049"	4.9430.015100
31	Genes & Diseases	"1081"	4.8030.003310
32	Microbial Genomics	"1139"	4.6320.005810
33	CANCER GENE THERAPY	"2914"	4.5340.002860
33	Circulation-Cardiovascular Genetics	"3090"	4.5340.008600
35	THEORETICAL AND APPLIED GENETICS	"21335"	4.4390.014120
36	JOURNAL OF MOLECULAR MEDICINE-JMM	"7543"	4.4270.009210
37	Biotechnology & Genetic Engineering Reviews	5904.3750.000380
38	HUMAN GENE THERAPY	"5631"	4.2730.008140
39	Genes and Nutrition	"1585"	4.2580.002000
40	Epigenetics	"5512"	4.2510.009770
41	Epigenetics & Chromatin	"1889"	4.2370.007550
42	MOLECULAR GENETICS AND METABOLISM	"7759"	4.1700.010090
43	GENE THERAPY	"6795"	4.1280.005520
44	HUMAN MUTATION	"13747"	4.1240.020800
45	Epigenomics	"2981"	4.1120.007600
46	Circulation-Genomic and Precision Medicine	3754.0630.002220
47	JOURNAL OF INHERITED METABOLIC DISEASE	"6306"	4.0360.007330
48	GENETICS	"42739"	4.0150.044500
49	DNA RESEARCH	"3230"	4.0090.004980
50	MITOCHONDRION	"3860"	3.9920.005160
51	GENETICS SELECTION EVOLUTION	"3400"	3.9500.005520
52	Plant Genome	"1787"	3.8470.003920
53	Genes	"5889"	3.7590.017290
54	EVOLUTION	"32140"	3.6980.024360
55	EUROPEAN JOURNAL OF HUMAN GENETICS	"10250"	3.6570.020500
56	BMC GENOMICS	"43220"	3.5940.086430
57	CLINICAL GENETICS	"7723"	3.5780.013950
58	Orphanet Journal of Rare Diseases	"7494"	3.5230.014200
59	Neurology-Genetics	8043.5090.003670
60	MOLECULAR PHYLOGENETICS AND EVOLUTION	"19367"	3.4960.024610
61	Genome Biology and Evolution	"7387"	3.4620.024830
62	GENES CHROMOSOMES & CANCER	"4930"	3.4440.005510
63	CHROMOSOMA	"3259"	3.4420.004220
64	HEREDITY	"9838"	3.4360.010550
65	CHROMOSOME RESEARCH	"2237"	3.4130.002160
66	AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	"4033"	3.3870.006040
67	Molecular Diagnosis & Therapy	"1187"	3.3800.002220
68	MUTAGENESIS	"3495"	3.3790.002510
69	Human Genomics	"1345"	3.3510.002840
70	DNA REPAIR	"5644"	3.3390.011860
71	Cancer Genomics & Proteomics	"1033"	3.2800.001490
72	Biology of Sex Differences	"1289"	3.2670.003640
73	Frontiers in Genetics	"10161"	3.2580.026230
73	JOURNAL OF GENE MEDICINE	"1961"	3.2580.001230
75	DNA AND CELL BIOLOGY	"3602"	3.1910.004100
76	Mobile DNA	9273.1610.003890
77	ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	"3500"	3.1310.002840
78	Cancer Genetics	"1277"	3.1050.002850
79	FUNGAL GENETICS AND BIOLOGY	"5821"	3.0710.006440
80	BMC EVOLUTIONARY BIOLOGY	"12731"	3.0580.018960
80	FUNCTIONAL & INTEGRATIVE GENOMICS	"2164"	3.0580.002580
82	Comparative Biochemistry and Physiology D-Genomics & Proteomics	"1181"	3.0110.001600
83	GENE	"27976"	2.9840.030860
84	Briefings in Functional Genomics	"1786"	2.9410.003300
85	PHARMACOGENOMICS JOURNAL	"2607"	2.9100.004520
86	ANIMAL GENETICS	"3863"	2.8410.004010
87	JOURNAL OF HUMAN GENETICS	"4253"	2.8310.007850
88	JOURNAL OF ASSISTED REPRODUCTION AND GENETICS	"5750"	2.8290.010680
89	JOURNAL OF HEREDITY	"6232"	2.8090.004930
90	PLASMID	"1917"	2.8050.001670
91	MOLECULAR GENETICS AND GENOMICS	"4740"	2.7970.006230
92	G3-Genes Genomes Genetics	"6487"	2.7810.024210
93	NEUROGENETICS	"1235"	2.7740.002200
94	PHYSIOLOGICAL GENOMICS	"4535"	2.7490.004520
95	DISEASE MARKERS	"4094"	2.7380.006650
96	JOURNAL OF EVOLUTIONARY BIOLOGY	"10761"	2.7200.013000
97	CURRENT GENOMICS	"2190"	2.6300.002070
98	Pharmacogenetics and Genomics	"3032"	2.6280.002620
99	IMMUNOGENETICS	"3277"	2.6210.002810
100	BMC Medical Genomics	"2924"	2.5700.006440
101	BMC GENETICS	"4387"	2.5670.007310
102	OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY	"2568"	2.5070.002470
